genome,gene,confidence,level,pred_product,truth_product,correct
80alpha,gene_1eaf1038a78f,0.35,low,ATP/GTP binding protein,replication initiation protein,0
80alpha,gene_4d1da0f0e875,0.35,low,DNA-binding transcription regulator,DUF4393 domain-containing protein,0
80alpha,gene_7d5d63112bc1,0.35,low,ATP/GTP binding protein,DnaC-like helicase loader,0
80alpha,gene_c335d7b69340,0.35,low,ATP/GTP binding protein,terminase large subunit,0
80alpha,gene_c936e640799a,0.35,low,ATP/GTP binding protein,major capsid protein,0
80alpha,gene_3a6935073fea,0.35,low,ATP/GTP binding protein,baseplate upper protein,0
80alpha,gene_78a4fa3c6eb9,0.35,low,DNA-binding transcription regulator,tape measure protein,0
A118,gene_ca6a1ea06e16,0.35,low,Serine protease,terminase large subunit,0
A118,gene_3d4d08157e0e,0.35,low,DNA-binding transcription regulator,holin,0
A118,gene_15b94c9b2078,0.35,low,DNA-binding transcription regulator,tail tape measure protein,0
Felix01,gene_3e1a3b2485c3,0.35,low,DNA-binding transcription regulator,RIIA lysis inhibitor,0
Felix01,gene_b1149b4a7c65,0.35,low,DNA-binding transcription regulator,phosphatase,0
Felix01,gene_da45fb48e616,0.45,low,ATP/GTP binding protein,terminase large subunit,0
Felix01,gene_37612aabf7c2,0.35,low,Serine protease,tail fiber protein,0
Felix01,gene_d790697c1c63,0.35,low,ATP/GTP binding protein,Phage conserved protein,0
Felix01,gene_9124e88fefc4,0.35,low,ATP/GTP binding protein,DNA primase/helicase,0
Felix01,gene_081017355161,0.35,low,Lipoprotein,exodeoxyribonuclease,0
Felix01,gene_1619efaac657,0.35,low,Lipoprotein,anaerobic ribonucleotide reductase small subunit,0
Felix01,gene_41ab5e7632d6,0.35,low,ATP/GTP binding protein,DNA polymerase,0
Felix01,gene_58c351101a76,0.35,low,DNA-binding transcription regulator,nicotinamide phosphoribosyl transferase,0
HK022,gene_577cabbc5ddd,0.45,low,DNA-binding transcription regulator,tail length tape measure protein,0
HK022,gene_121eb489a557,0.35,low,DNA-binding transcription regulator,tail protein,0
HK022,gene_918921993ee6,0.35,low,Lipoprotein,minor tail protein,0
HK022,gene_e5256e83234f,0.35,low,ATP/GTP binding protein,terminase large subunit,0
HK022,gene_144839a27308,0.35,low,Lipoprotein,portal protein,0
HK022,gene_f56bdaf07104,0.35,low,ATP/GTP binding protein,DnaB-like replicative helicase,0
HK97,gene_2d19297e86df,0.35,low,Lipoprotein,minor tail protein,0
HK97,gene_3bf43662bfc6,0.35,low,ATP/GTP binding protein,replicative DNA helicase,0
HK97,gene_741d82d7fe48,0.35,low,ATP/GTP binding protein,terminase large subunit,0
HK97,gene_4d739728a8fe,0.35,low,DNA-binding transcription regulator,Gp48,0
HK97,gene_9fdcf52bb2ce,0.35,low,Lipoprotein,HNH endonuclease,0
HK97,gene_9bdbd94132fa,0.35,low,DNA-binding transcription regulator,tail protein,0
HK97,gene_dbbf834f7dcc,0.35,low,Lipoprotein,portal protein,0
Mu,gene_19b5315d2f9c,0.35,low,ATP/GTP binding protein,DNA transposition protein,0
Mu,gene_e3b56ab5a359,0.35,low,Lipoprotein,Mu transposase C-terminal domain-containing protein,0
Mu,gene_5d0e1a473638,0.35,low,DNA-binding transcription regulator,Mom-like DNA modification protein,0
Mu,gene_afa6fce6fc5e,0.35,low,Lipoprotein,tail sheath,0
N4,gene_041153a8c7d7,0.35,low,ATP/GTP binding protein,HNH endonuclease,0
N4,gene_62fa28a6beea,0.35,low,Lipoprotein,lipoprotein,1
N4,gene_fda93d7f329e,0.35,low,ATP/GTP binding protein,DNA helicase,0
N4,gene_31c1daa3c7f0,0.35,low,ATP/GTP binding protein,Sak4-like ssDNA annealing protein,0
N4,gene_35a42b7b5671,0.35,low,Lipoprotein,DNA primase,0
N4,gene_187ed1bb567c,0.35,low,ATP/GTP binding protein,virion RNA polymerase,0
N4,gene_afb41a88a805,0.35,low,ATP/GTP binding protein,major head protein,0
P22,gene_8afb7c452ccc,0.35,low,DNA-binding transcription regulator,superinfection exclusion SieA-like,0
P22,gene_443a7d9a3922,0.35,low,Lipoprotein,head closure Hc3,0
P22,gene_df44b0f102f6,0.35,low,DNA-binding transcription regulator,tail spike protein,0
