genome,gene,confidence,level,pred_product,truth_product,correct
80alpha,gene_c85979d33538,0.35,low,ATP/GTP binding protein,replication initiation protein,0
80alpha,gene_932158a64058,0.35,low,DNA-binding transcription regulator,DUF4393 domain-containing protein,0
80alpha,gene_48a95052b501,0.5797,moderate,replicative helicase loader dnac,DnaC-like helicase loader,1
80alpha,gene_e13e3e0ca0e9,0.9496,high,single-stranded dna-binding protein 2,single strand DNA binding protein,1
80alpha,gene_0b40df6ff814,0.879,high,transcriptional activator rinb,RinB-like transcriptional activator,1
80alpha,gene_46b6d10d206f,0.4365,low,deoxyuridine 5'-triphosphate nucleotidohydrolase,Na/K ATPase,0
80alpha,gene_a0e15806b566,0.95,high,terminase small subunit,terminase small subunit,1
80alpha,gene_b5318fd90164,0.7092,moderate,Metabolism-related protein,terminase large subunit,0
80alpha,gene_c8b86a9f27a6,0.929,high,transcriptional activator rina,RinA family transcriptional activator,1
80alpha,gene_32855aba5f5b,1.0,high,tail protein,major tail protein,1
80alpha,gene_7a4d9afce162,0.95,high,capsid assembly scaffolding protein,head scaffolding protein,0
80alpha,gene_f374e06c9c58,0.8432,high,Replication-related protein,tape measure protein,0
80alpha,gene_82917fce678f,0.6642,moderate,autolysin ph,endolysin,0
80alpha,gene_4628790e5e5c,0.35,low,ATP/GTP binding protein,baseplate upper protein,0
A118,gene_08ab866454f4,0.3951,low,regulatory protein cii,CII-like transcriptional activator,0
A118,gene_425cdc5b7a55,0.7824,moderate,Metabolism-related protein,terminase large subunit,0
A118,gene_ada8cb6a1451,0.346,low,capsid assembly scaffolding protein,head scaffolding protein,0
A118,gene_10c443611285,0.447,low,integrase,integrase,1
A118,gene_00a38011e7db,0.4323,low,portal protein,portal protein,1
A118,gene_d1ccbb821dca,0.4555,low,replication gene a protein,nicking at origin of replication,0
A118,gene_118edb717ca1,0.265,speculative,head completion/stabilization protein,head-tail adaptor Ad1,0
A118,gene_0abff07335c6,0.403,low,tail tube protein,tail protein,1
A118,gene_ab6ffca872c2,0.321,low,tail sheath protein,tail sheath,1
A118,gene_712ee9c6fea3,0.3714,low,sar-endolysin,endolysin,1
A118,gene_eec7ab7ba948,0.29,speculative,baseplate protein gp29,baseplate J/gp47 family protein,0
A118,gene_39806f2563d1,0.425,low,tail protein gp30,tail protein,1
A118,gene_2ec90e18fea8,0.35,low,DNA-binding transcription regulator,holin,0
A118,gene_60210b62e40d,0.7176,moderate,Replication-related protein,tail tape measure protein,0
Felix01,gene_262628187245,0.35,low,DNA-binding transcription regulator,phosphatase,0
Felix01,gene_fbe2b0aab7a1,0.305,low,protein riib,RIIB lysis inhibitor,1
Felix01,gene_d69b626396c2,0.35,low,DNA-binding transcription regulator,RIIA lysis inhibitor,0
Felix01,gene_9415eded158e,0.4653,low,endolysin,endolysin,1
Felix01,gene_d8b8fc5862f2,0.2762,speculative,capsid assembly protease c,head maturation protease,0
Felix01,gene_63f984d0ea4a,1.0,high,major capsid protein,major capsid protein,1
Felix01,gene_826914444a22,0.45,low,ATP/GTP binding protein,terminase large subunit,0
Felix01,gene_dc2928c8acb3,0.35,low,ATP/GTP binding protein,Phage conserved protein,0
Felix01,gene_1bdc2577161e,0.45,low,thymidylate synthase,thymidylate synthase,1
Felix01,gene_d56cfe20428f,1.0,high,tape measure protein,tail length tape measure protein,1
Felix01,gene_a8a0f30232f5,0.35,low,Lipoprotein,exodeoxyribonuclease,0
Felix01,gene_dd945f734a1c,0.3483,low,ribonucleoside-diphosphate reductase subunit alpha,ribonucleoside-diphosphate reductase subunit alpha,1
Felix01,gene_5c5fe00e4da1,0.214,speculative,dihydrofolate reductase,dihydrofolate reductase,1
Felix01,gene_c2690c0b1340,0.8201,high,anaerobic ribonucleoside-triphosphate reductase-activating protein,anaerobic ribonucleotide reductase small subunit,0
Felix01,gene_4da56e7788d1,0.5467,moderate,anaerobic ribonucleoside-triphosphate reductase,NrdD-like anaerobic ribonucleotide reductase large subunit,0
Felix01,gene_60903aee6c65,0.35,low,ATP/GTP binding protein,DNA polymerase,0
Felix01,gene_763982ca9982,0.8074,high,Stress Response-related protein,tail fiber protein,0
Felix01,gene_fdcf4a616f15,0.35,low,ATP/GTP binding protein,DNA primase/helicase,0
HK022,gene_c8bc5627f670,0.45,low,DNA-binding transcription regulator,tail length tape measure protein,0
HK022,gene_549e222584e5,0.907,high,tail tip assembly protein k,minor tail protein,0
HK022,gene_cc214210a7ee,1.0,high,integrase,integrase,1
HK022,gene_bd054b0f1360,1.0,high,terminase,terminase small subunit,1
HK022,gene_21e8e91498c5,1.0,high,tail tip protein l,minor tail protein,0
HK022,gene_29375e60855b,0.95,high,major capsid protein,major head protein,0
HK022,gene_37cc73a176c9,0.9067,high,portal protein,portal protein,1
HK022,gene_f79d316811bf,1.0,high,head completion protein gp6,head-tail adaptor Ad1,0
HK022,gene_1dda025d8479,0.919,high,head completion protein gp7,head closure Hc1,0
HK022,gene_a5d2b439b9f4,0.868,high,anti-recbcd protein 2,abc2 anti-RecBCD,1
HK022,gene_fd3d007787ae,0.273,speculative,tail tip protein m,minor tail protein,0
HK022,gene_131af9928dd9,0.941,high,prohead protease,head maturation protease,0
HK022,gene_8f9d2e4dc75d,0.581,moderate,tail tip assembly protein i,tail protein,1
HK022,gene_066f5a7b6a2f,0.637,moderate,essential recombination function protein,Erf-like ssDNA annealing protein,0
HK022,gene_b6461247e231,0.924,high,transposase for transposon tn903,transposase,1
HK022,gene_9fae48edce68,0.6362,moderate,replicative dna helicase dnab,DnaB-like replicative helicase,1
HK022,gene_2d140c5e2c79,1.0,high,antitermination protein q,antitermination protein,1
HK022,gene_e93f73648e79,0.9,high,antiholin,holin/anti-holin,0
HK022,gene_a2393f78bb21,1.0,high,endolysin,endolysin,1
HK97,gene_b5cd33f2eacf,0.95,high,regulatory protein ciii,CIII anti-termination,0
HK97,gene_e203063f29ac,0.288,speculative,tail tip protein m,minor tail protein,0
HK97,gene_3d144c8da855,0.95,high,head completion protein gp7,head closure Hc1,0
HK97,gene_8b0d876e9397,1.0,high,head completion protein gp6,head-tail adaptor Ad1,0
HK97,gene_63d823181342,0.95,high,protein kil,Kil protein for bacterial septation inhibition,1
HK97,gene_378e495f2e9c,0.95,high,major capsid protein,major head protein,0
HK97,gene_a8e89e950af2,0.9144,high,portal protein,portal protein,1
HK97,gene_12412101f463,0.95,high,prohead protease,head maturation protease,0
HK97,gene_d82dcf63fd85,0.89,high,tail tip assembly protein k,minor tail protein,0
HK97,gene_929cc45925b1,0.868,high,anti-recbcd protein 2,abc2 anti-RecBCD,1
HK97,gene_aa1de4f60689,1.0,high,terminase,terminase small subunit,1
HK97,gene_86bcc67ad1a7,1.0,high,integrase,integrase,1
HK97,gene_0a31d5624efc,0.646,moderate,essential recombination function protein,Erf-like ssDNA annealing protein,0
HK97,gene_ae7a49f24fc5,1.0,high,protein tfas,tail fiber assembly,0
HK97,gene_ce14ea4b9a99,0.9086,high,tail tip protein l,minor tail protein,0
HK97,gene_13ef620e9d34,0.581,moderate,tail tip assembly protein i,tail protein,1
HK97,gene_4a85e8d7286a,0.35,low,DNA-binding transcription regulator,Gp48,0
HK97,gene_ffbb0e98d425,0.9096,high,repressor protein ci,LexA family transcriptional regulator,0
HK97,gene_681e7aa12c23,0.935,high,regulatory protein cro,Cro/CI family transcriptional regulator,0
HK97,gene_d9210ad78691,0.4038,low,dna replication protein gp18,replication initiation O-like,0
HK97,gene_4d7a1d4ad42d,0.8708,high,replicative dna helicase,replicative DNA helicase,1
HK97,gene_c40095f1c759,1.0,high,protein ninb,NinB/ Orf homologous recombination mediator,1
HK97,gene_e981b8fb80c0,0.8371,high,antirepressor protein 1,anti-repressor,0
HK97,gene_db5a4d24f7ec,0.795,moderate,nuclease ybco,HNH endonuclease,0
